1.1416079783099613 (1.0000000000000004, 1.122298628487799)
1.065564228149335 (1.0816326530612252, 1.0407128128376495)
1.0001264601761541 (1.1632653061224496, 0.9762914415171314)
0.9432103276532041 (1.2448979591836737, 0.9153340702555458)
0.8932444481916207 (1.3265306122448983, 0.8638919149777826)
0.8490217258240217 (1.4081632653061227, 0.8189486059186467)
0.8095995528384631 (1.489795918367347, 0.7788298673779117)
0.7742311169841327 (1.5714285714285716, 0.737915136788723)
0.7423170616319985 (1.6530612244897966, 0.7089429387865166)
0.7133707944353536 (1.7346938775510206, 0.6764016654856333)
0.6869931506200827 (1.8163265306122456, 0.6489520026858516)
0.6628535944905211 (1.8979591836734695, 0.6236928267929854)
0.6406760718592055 (1.9795918367346945, 0.6000084473290849)
0.6202282240594444 (2.061224489795918, 0.576393554933265)
0.6013130671389819 (2.1428571428571432, 0.5514100856648756)
0.5837625029946271 (2.224489795918368, 0.5331069699384542)
0.5674322085304657 (2.3061224489795915, 0.5174105375987688)
0.552197573069043 (2.387755102040817, 0.5028304097948307)
0.5379504414556274 (2.469387755102041, 0.4872621647344665)
0.5245964823898537 (2.551020408163265, 0.4725758901947623)
0.5120530462847716 (2.63265306122449, 0.4585219641621738)
0.5002474096021077 (2.714285714285714, 0.44241131266917844)
0.4891153266821905 (2.795918367346938, 0.43693161459771895)
0.47859982801127426 (2.877551020408163, 0.42211786624489556)
0.46865021734317314 (2.9591836734693877, 0.40879397200053974)
0.4592212303108488 (3.0408163265306123, 0.39622719812123774)
0.4502723249779739 (3.1224489795918347, 0.38739262404664393)
0.4417670808030679 (3.20408163265306, 0.3748995349753413)
0.43367268716476765 (3.2857142857142847, 0.36526049371530417)
0.4259595062525614 (3.3673469387755097, 0.35910712857111066)
0.4186006980043825 (3.4489795918367347, 0.3502098940376063)
0.41157189705083974 (3.5306122448979584, 0.33978651187906456)
0.4048509334408697 (3.612244897959185, 0.3338609547346604)
0.3984175903776248 (3.693877551020408, 0.3267217277808065)
0.3922533933645026 (3.775510204081631, 0.3210367765461046)
0.3863414261092716 (3.857142857142856, 0.3111350421552877)
0.3806661693054617 (3.9387755102040827, 0.30319719067355294)
0.37521335904048336 (4.020408163265306, 0.2976108555168529)
0.3699698620973516 (4.102040816326528, 0.2871755728757172)
0.36492356584345664 (4.183673469387752, 0.2849635760177533)
0.36006328075290617 (4.26530612244898, 0.28081261901047144)
0.35537865390238893 (4.3469387755102025, 0.27104457903900675)
0.35086009202525437 (4.428571428571429, 0.267418085421392)
0.3464986929133904 (4.510204081632653, 0.2596940245016667)
0.34228618412858036 (4.591836734693877, 0.2561386804571469)
0.3382148681300811 (4.673469387755103, 0.2517188954958583)
0.33427757304780586 (4.755102040816325, 0.24333612596218782)
0.33046760843451295 (4.836734693877548, 0.24088982767752984)
0.32677872541888797 (4.918367346938775, 0.2323583030908292)
0.3232050807568878 (4.999999999999997, 0.2283439128591612)